qid,absid
http://www.wikidata.org/entity/Q97987294,100507
http://www.wikidata.org/entity/Q97986979,100716
http://www.wikidata.org/entity/Q97986835,100928
http://www.wikidata.org/entity/Q97984486,100991
http://www.wikidata.org/entity/Q97984506,100992
http://www.wikidata.org/entity/Q97986695,101023
http://www.wikidata.org/entity/Q97983825,101039
http://www.wikidata.org/entity/Q97984388,101061
http://www.wikidata.org/entity/Q97984331,101084
http://www.wikidata.org/entity/Q97986080,101152
http://www.wikidata.org/entity/Q97985963,101197
http://www.wikidata.org/entity/Q97985299,101214
http://www.wikidata.org/entity/Q97987898,101302
http://www.wikidata.org/entity/Q97988551,101333
http://www.wikidata.org/entity/Q97983800,101440
http://www.wikidata.org/entity/Q97983762,101457
http://www.wikidata.org/entity/Q97987627,101498
http://www.wikidata.org/entity/Q97984204,101522
http://www.wikidata.org/entity/Q97984980,101526
http://www.wikidata.org/entity/Q97983606,101665
http://www.wikidata.org/entity/Q97985968,111118
http://www.wikidata.org/entity/Q97986241,150276
http://www.wikidata.org/entity/Q97987024,152214
http://www.wikidata.org/entity/Q97984759,152968
http://www.wikidata.org/entity/Q84728074,99063
http://www.wikidata.org/entity/Q97985189,99117
http://www.wikidata.org/entity/Q97983873,99181
http://www.wikidata.org/entity/Q97984194,99211
http://www.wikidata.org/entity/Q97984062,99558
http://www.wikidata.org/entity/Q97987352,99569
http://www.wikidata.org/entity/Q97985379,99764
http://www.wikidata.org/entity/Q97985090,99844
http://www.wikidata.org/entity/Q97985821,99884
http://www.wikidata.org/entity/Q97984687,99927
http://www.wikidata.org/entity/Q97985518,99946
http://www.wikidata.org/entity/Q97987009,99971
http://www.wikidata.org/entity/Q97985749,100035
http://www.wikidata.org/entity/Q97988482,100039
http://www.wikidata.org/entity/Q97985386,100044
http://www.wikidata.org/entity/Q97983518,100132
http://www.wikidata.org/entity/Q97985476,100191
http://www.wikidata.org/entity/Q97984004,100403
http://www.wikidata.org/entity/Q97984340,100519
http://www.wikidata.org/entity/Q97985524,100652
http://www.wikidata.org/entity/Q97984273,100713
http://www.wikidata.org/entity/Q97985049,100726
http://www.wikidata.org/entity/Q97985776,100753
http://www.wikidata.org/entity/Q97987765,100946
http://www.wikidata.org/entity/Q97985483,100973
http://www.wikidata.org/entity/Q97984864,100989
http://www.wikidata.org/entity/Q97984142,101006
http://www.wikidata.org/entity/Q97983715,101040
http://www.wikidata.org/entity/Q84727610,101085
http://www.wikidata.org/entity/Q97987908,101124
http://www.wikidata.org/entity/Q97984714,101173
http://www.wikidata.org/entity/Q97985099,101411
http://www.wikidata.org/entity/Q97985000,101416
http://www.wikidata.org/entity/Q97986166,101427
http://www.wikidata.org/entity/Q97986731,101538
http://www.wikidata.org/entity/Q97984740,101547
http://www.wikidata.org/entity/Q97987461,101711
http://www.wikidata.org/entity/Q97988019,101747
http://www.wikidata.org/entity/Q97986473,101813
http://www.wikidata.org/entity/Q97988566,101818
http://www.wikidata.org/entity/Q97988285,107621
http://www.wikidata.org/entity/Q97987011,111041
http://www.wikidata.org/entity/Q97983590,112592
http://www.wikidata.org/entity/Q97985260,118297
http://www.wikidata.org/entity/Q97983454,137028
http://www.wikidata.org/entity/Q97983377,152938
http://www.wikidata.org/entity/Q97983922,152987
http://www.wikidata.org/entity/Q97986393,182692
http://www.wikidata.org/entity/Q97985211,99149
http://www.wikidata.org/entity/Q97984183,99269
http://www.wikidata.org/entity/Q97984530,99320
http://www.wikidata.org/entity/Q97986526,99385
http://www.wikidata.org/entity/Q97987994,99429
http://www.wikidata.org/entity/Q97985697,99553
http://www.wikidata.org/entity/Q97984320,99579
http://www.wikidata.org/entity/Q97988558,99581
http://www.wikidata.org/entity/Q97983577,99589
http://www.wikidata.org/entity/Q97986849,99612
http://www.wikidata.org/entity/Q97986257,99645
http://www.wikidata.org/entity/Q97986483,99664
http://www.wikidata.org/entity/Q97986409,99665
http://www.wikidata.org/entity/Q97984025,99693
http://www.wikidata.org/entity/Q97986253,99737
http://www.wikidata.org/entity/Q97988395,99744
http://www.wikidata.org/entity/Q97983333,99762
http://www.wikidata.org/entity/Q97984707,99768
http://www.wikidata.org/entity/Q97984876,99769
http://www.wikidata.org/entity/Q97986650,99773
http://www.wikidata.org/entity/Q97984337,99783
http://www.wikidata.org/entity/Q97985700,99827
http://www.wikidata.org/entity/Q97985988,99835
http://www.wikidata.org/entity/Q97987575,99913
http://www.wikidata.org/entity/Q97984846,99922
http://www.wikidata.org/entity/Q97988128,99947
http://www.wikidata.org/entity/Q97987611,99961
http://www.wikidata.org/entity/Q97984501,99964
http://www.wikidata.org/entity/Q97988453,99979
http://www.wikidata.org/entity/Q97983302,99980
http://www.wikidata.org/entity/Q97987647,99981
http://www.wikidata.org/entity/Q97985534,99984
http://www.wikidata.org/entity/Q7620312,100096
http://www.wikidata.org/entity/Q97984269,100114
http://www.wikidata.org/entity/Q97987093,100256
http://www.wikidata.org/entity/Q97985851,100387
http://www.wikidata.org/entity/Q97985219,100530
http://www.wikidata.org/entity/Q97983852,100721
http://www.wikidata.org/entity/Q97985135,100760
http://www.wikidata.org/entity/Q97983543,100765
http://www.wikidata.org/entity/Q97985701,100922
http://www.wikidata.org/entity/Q97987759,100948
http://www.wikidata.org/entity/Q97987920,101107
http://www.wikidata.org/entity/Q97986504,101287
http://www.wikidata.org/entity/Q97986998,101309
http://www.wikidata.org/entity/Q97987341,101386
http://www.wikidata.org/entity/Q97985044,101480
http://www.wikidata.org/entity/Q97987638,101566
http://www.wikidata.org/entity/Q97986814,101570
http://www.wikidata.org/entity/Q97987190,101599
http://www.wikidata.org/entity/Q52311625,101653
http://www.wikidata.org/entity/Q97987097,101737
http://www.wikidata.org/entity/Q97985441,101753
http://www.wikidata.org/entity/Q97984093,103613
http://www.wikidata.org/entity/Q97988382,111040
http://www.wikidata.org/entity/Q97986886,133752
http://www.wikidata.org/entity/Q97985883,152156
http://www.wikidata.org/entity/Q97984347,152224
http://www.wikidata.org/entity/Q97984059,182663
http://www.wikidata.org/entity/Q97984313,99488
http://www.wikidata.org/entity/Q97988060,99506
http://www.wikidata.org/entity/Q97985979,99510
http://www.wikidata.org/entity/Q97985329,99527
http://www.wikidata.org/entity/Q97984065,99559
http://www.wikidata.org/entity/Q97983357,99801
http://www.wikidata.org/entity/Q97986864,99855
http://www.wikidata.org/entity/Q97984364,99988
http://www.wikidata.org/entity/Q97987470,99995
http://www.wikidata.org/entity/Q97986612,100014
http://www.wikidata.org/entity/Q97986850,100080
http://www.wikidata.org/entity/Q97983420,100081
http://www.wikidata.org/entity/Q97986103,100124
http://www.wikidata.org/entity/Q97983935,100130
http://www.wikidata.org/entity/Q97984245,100138
http://www.wikidata.org/entity/Q97984893,100194
http://www.wikidata.org/entity/Q97983619,100219
http://www.wikidata.org/entity/Q97986254,100226
http://www.wikidata.org/entity/Q97986129,100230
http://www.wikidata.org/entity/Q97984837,100271
http://www.wikidata.org/entity/Q97986172,100292
http://www.wikidata.org/entity/Q97987153,100305
http://www.wikidata.org/entity/Q97986805,100331
http://www.wikidata.org/entity/Q97985181,100341
http://www.wikidata.org/entity/Q97988341,100388
http://www.wikidata.org/entity/Q97988283,100390
http://www.wikidata.org/entity/Q97987849,100391
http://www.wikidata.org/entity/Q97986988,100492
http://www.wikidata.org/entity/Q97986892,100534
http://www.wikidata.org/entity/Q97984072,100570
http://www.wikidata.org/entity/Q97985429,100574
http://www.wikidata.org/entity/Q97983311,100577
http://www.wikidata.org/entity/Q97984965,100608
http://www.wikidata.org/entity/Q97984959,100626
http://www.wikidata.org/entity/Q97986032,100653
http://www.wikidata.org/entity/Q97987438,100798
http://www.wikidata.org/entity/Q97987264,100801
http://www.wikidata.org/entity/Q97985587,100818
http://www.wikidata.org/entity/Q97985198,100830
http://www.wikidata.org/entity/Q97983203,100851
http://www.wikidata.org/entity/Q97985271,100857
http://www.wikidata.org/entity/Q97985449,100912
http://www.wikidata.org/entity/Q97984295,100918
http://www.wikidata.org/entity/Q97985245,100982
http://www.wikidata.org/entity/Q97984460,101022
http://www.wikidata.org/entity/Q97986436,101055
http://www.wikidata.org/entity/Q97983794,101059
http://www.wikidata.org/entity/Q97983647,101126
http://www.wikidata.org/entity/Q97986323,101184
http://www.wikidata.org/entity/Q97987033,101188
http://www.wikidata.org/entity/Q97986911,101288
http://www.wikidata.org/entity/Q97988004,101567
http://www.wikidata.org/entity/Q97987749,101778
http://www.wikidata.org/entity/Q97987412,101803
http://www.wikidata.org/entity/Q97984747,101804
http://www.wikidata.org/entity/Q97988069,101812
http://www.wikidata.org/entity/Q97985128,101815
http://www.wikidata.org/entity/Q97985609,110820
http://www.wikidata.org/entity/Q97985611,118963
http://www.wikidata.org/entity/Q97988102,135926
http://www.wikidata.org/entity/Q97985916,137031
http://www.wikidata.org/entity/Q97988536,152165
http://www.wikidata.org/entity/Q97983608,182659
http://www.wikidata.org/entity/Q97984972,99079
http://www.wikidata.org/entity/Q97986260,99100
http://www.wikidata.org/entity/Q97986716,99225
http://www.wikidata.org/entity/Q97987282,99228
http://www.wikidata.org/entity/Q97985981,99369
http://www.wikidata.org/entity/Q97987662,99522
http://www.wikidata.org/entity/Q84727663,99723
http://www.wikidata.org/entity/Q97986442,99790
http://www.wikidata.org/entity/Q97984545,99812
http://www.wikidata.org/entity/Q97983857,99822
http://www.wikidata.org/entity/Q97986494,99909
http://www.wikidata.org/entity/Q97985055,100010
http://www.wikidata.org/entity/Q97988131,100129
http://www.wikidata.org/entity/Q97983325,100133
http://www.wikidata.org/entity/Q97985694,100175
http://www.wikidata.org/entity/Q97985465,100192
http://www.wikidata.org/entity/Q97988297,100208
http://www.wikidata.org/entity/Q1143837,100215
http://www.wikidata.org/entity/Q97987585,100328
http://www.wikidata.org/entity/Q97983449,100384
http://www.wikidata.org/entity/Q97986891,100409
http://www.wikidata.org/entity/Q97986370,100444
http://www.wikidata.org/entity/Q97985662,100460
http://www.wikidata.org/entity/Q97985531,100461
http://www.wikidata.org/entity/Q97985681,100465
http://www.wikidata.org/entity/Q97987743,100641
http://www.wikidata.org/entity/Q97986171,100783
http://www.wikidata.org/entity/Q97983615,100901
http://www.wikidata.org/entity/Q97985396,100917
http://www.wikidata.org/entity/Q97986838,100936
http://www.wikidata.org/entity/Q97988139,100939
http://www.wikidata.org/entity/Q97984378,100947
http://www.wikidata.org/entity/Q97985366,100957
http://www.wikidata.org/entity/Q97984562,100987
http://www.wikidata.org/entity/Q97985984,101002
http://www.wikidata.org/entity/Q97985989,101007
http://www.wikidata.org/entity/Q97985795,101027
http://www.wikidata.org/entity/Q97983744,101063
http://www.wikidata.org/entity/Q97987954,101080
http://www.wikidata.org/entity/Q97987825,101083
http://www.wikidata.org/entity/Q97987972,101116
http://www.wikidata.org/entity/Q97988331,101135
http://www.wikidata.org/entity/Q97985719,101141
http://www.wikidata.org/entity/Q97985912,101175
http://www.wikidata.org/entity/Q97987599,101208
http://www.wikidata.org/entity/Q97988210,101215
http://www.wikidata.org/entity/Q97983723,101234
http://www.wikidata.org/entity/Q97984596,101368
http://www.wikidata.org/entity/Q97987604,101412
http://www.wikidata.org/entity/Q97985316,101444
http://www.wikidata.org/entity/Q97983467,101550
http://www.wikidata.org/entity/Q97987822,101603
http://www.wikidata.org/entity/Q97984597,101733
http://www.wikidata.org/entity/Q97986562,112583
http://www.wikidata.org/entity/Q97984723,112956
http://www.wikidata.org/entity/Q97984339,118688
http://www.wikidata.org/entity/Q97983267,122869
http://www.wikidata.org/entity/Q97986749,152178
http://www.wikidata.org/entity/Q97983209,152956
http://www.wikidata.org/entity/Q97986489,152964
http://www.wikidata.org/entity/Q97984470,182649
http://www.wikidata.org/entity/Q97985191,99106
http://www.wikidata.org/entity/Q97983677,99146
http://www.wikidata.org/entity/Q97984439,99180
http://www.wikidata.org/entity/Q97984599,99187
http://www.wikidata.org/entity/Q97984178,99194
http://www.wikidata.org/entity/Q97983597,99202
http://www.wikidata.org/entity/Q97987525,99262
http://www.wikidata.org/entity/Q97985442,99272
http://www.wikidata.org/entity/Q97987902,99384
http://www.wikidata.org/entity/Q97985844,99473
http://www.wikidata.org/entity/Q97985576,99494
http://www.wikidata.org/entity/Q97988306,99517
http://www.wikidata.org/entity/Q97988016,99626
http://www.wikidata.org/entity/Q97984699,99679
http://www.wikidata.org/entity/Q97987508,99879
http://www.wikidata.org/entity/Q97986951,100000
http://www.wikidata.org/entity/Q97986558,100004
http://www.wikidata.org/entity/Q97985278,100021
http://www.wikidata.org/entity/Q97987141,100031
http://www.wikidata.org/entity/Q97985130,100037
http://www.wikidata.org/entity/Q97984711,100120
http://www.wikidata.org/entity/Q7352496,100126
http://www.wikidata.org/entity/Q97986755,100150
http://www.wikidata.org/entity/Q97983275,100166
http://www.wikidata.org/entity/Q97987469,100179
http://www.wikidata.org/entity/Q97984870,100210
http://www.wikidata.org/entity/Q97985842,100255
http://www.wikidata.org/entity/Q84727605,100335
http://www.wikidata.org/entity/Q97987107,100405
