Year,Order_Num,Yard_Num,Vessel_Type,Propulsion,Vessel_Name,Builder,SBS_link
1884,88861,234,Cargo,Screw Steamer,ARDMELLIE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51593&vessel=ARDMELLIE
1884,88829,236,Passenger / Cargo,Screw Steamer,ZAFIRO,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51595&vessel=ZAFIRO
1884,88864,238,Cargo,Screw Steamer,GLENEAGLES,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51597&vessel=GLENEAGLES
1885,88865,240,Fishing,Screw Steamer,ST CLEMENT,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51599&vessel=ST+CLEMENT
1886,89100,242,Cargo,Screw Steamer,GLOAMIN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51601&vessel=GLOAMIN
1887,88875,245,Passenger / Cargo,Screw Steamer,OITHONA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51604&vessel=OITHONA
1888,94372,243,Passenger / Cargo,Screw Steamer,CHOY SANG,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51602&vessel=CHOY+SANG
1888,94525,248,Fishing,Screw Steamer,NORTH SEA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51607&vessel=NORTH+SEA
1889,94531,250,Cargo,Screw Steamer,ALFORD,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51609&vessel=ALFORD
1889,94534,252,Cargo,Screw Steamer,IFAFA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51611&vessel=IFAFA
1889,94538,254,Fishing,Screw Steamer,NORTH POLE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51613&vessel=NORTH+POLE
1890,94545,256,Coaster,Screw Steamer,DUCHESS OF FIFE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51615&vessel=DUCHESS+OF+FIFE
1890,94546,258,Cargo,Screw Steamer,GARTHDEE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51617&vessel=GARTHDEE
1890,94549,260,Fishing,Screw Steamer,NORTH WEST,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51619&vessel=NORTH+WEST
1890,98550,262,Fishing,Screw Steamer,NORTH COAST,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51621&vessel=NORTH+COAST
1891,98566,264,Passenger / Cargo,Screw Steamer,THERMOPYLAE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51623&vessel=THERMOPYLAE
1891,98564,266,Passenger / Cargo,Screw Steamer,INDUNA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51625&vessel=INDUNA
1891,98568,268,Fishing,Screw Steamer,STRATHTAY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51627&vessel=STRATHTAY
1892,99637,271,Passenger / Cargo,Screw Steamer,ST OLA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51630&vessel=ST+OLA
1892,99641,273,Passenger / Cargo,Screw Steamer,SAINT GILES,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51632&vessel=SAINT+GILES
1892,99644,276,Fishing,Screw Steamer,NIGHTINGALE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51635&vessel=NIGHTINGALE
1893,99647,275,Passenger / Cargo,Screw Steamer,HOGARTH,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51634&vessel=HOGARTH
1894,102144,277,Passenger / Cargo,Screw Steamer,HUBERT,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51636&vessel=HUBERT
1894,99657,280,Fishing,Screw Steamer,NORTH AMERICAN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51639&vessel=NORTH+AMERICAN
1894,104501,282,Cargo,Screw Steamer,GREYFRIARS,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51641&vessel=GREYFRIARS
1894,104503,285,Fishing,Screw Steamer,STRATHISLA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51644&vessel=STRATHISLA
1895,104509,286,Cargo,Screw Steamer,NORWOOD,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51645&vessel=NORWOOD
1895,104510,288,Fishing,Screw Steamer,FRIGATE BIRD,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51647&vessel=FRIGATE+BIRD
1895,105771,293,Cargo,Screw Steamer,KING SING,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51652&vessel=KING+SING
1895,,291,Barge,No Propulsion,C,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51650&vessel=C
1896,104520,295,Fishing,Screw Steamer,CRAIGELLACHIE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51654&vessel=CRAIGELLACHIE
1896,106533,297,Fishing,Screw Steamer,CRAIGMILLAR,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51656&vessel=CRAIGMILLAR
1896,106534,299,Fishing,Screw Steamer,VINEYARD,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51658&vessel=VINEYARD
1896,106542,301,Passenger / Cargo,Screw Steamer,INYATI,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51660&vessel=INYATI
1897,108651,303,Passenger / Cargo,Screw Steamer,INGELI,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51662&vessel=INGELI
1897,106546,305,Fishing,Screw Steamer,CRAIG GOWAN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51664&vessel=CRAIG+GOWAN
1898,108652,306,Fishing,Screw Steamer,JOHN NUTTEN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51665&vessel=JOHN+NUTTEN
1898,109448,309,Cargo,Screw Steamer,BOLIVAR,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51668&vessel=BOLIVAR
1898,108588,311,Fishing,Screw Steamer,JOHN S. BOYLE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51670&vessel=JOHN+S.+BOYLE+
1898,108589,313,Fishing,Screw Steamer,MARY BELL,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51672&vessel=MARY+BELL
1898,108657,316,Fishing,Screw Steamer,STRATHERRICK,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51675&vessel=STRATHERRICK
1899,107030,290,Passenger / Cargo,Screw Steamer,DIAMANTE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51649&vessel=DIAMANTE
1899,108673,317,Passenger / Cargo,Screw Steamer,INSIZWA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51676&vessel=INSIZWA
1899,108667,319,Fishing,Screw Steamer,BEN MORE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51678&vessel=BEN+MORE
1899,110851,321,Fishing,Screw Steamer,CRIMOND,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51680&vessel=CRIMOND
1899,110855,323,Fishing,Screw Steamer,CORTES,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51682&vessel=CORTES
1899,108678,326,Fishing,Screw Steamer,STRATHBRAN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51685&vessel=STRATHBRAN
1900,113063,328,Fishing,Screw Steamer,IVERNIA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51687&vessel=IVERNIA
1900,112913,330,Fishing,Screw Steamer,IRIS,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51689&vessel=IRIS
1900,112924,332,Fishing,Screw Steamer,STRATHALLAN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51691&vessel=STRATHALLAN
1900,112931,334,Cargo,Screw Steamer,GILCOMSTON,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51693&vessel=GILCOMSTON
1900,112934,337,Fishing,Screw Steamer,BEN WYVIS,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51696&vessel=BEN+WYVIS
1900,112938,339,Fishing,Screw Steamer,BEN VOIRLICH,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51698&vessel=BEN+VOIRLICH
1900,112930,335,Fishing,Screw Steamer,CROCUS,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51694&vessel=CROCUS
1900,110859,342,Fishing,Screw Steamer,BRUCKLAY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51701&vessel=BRUCKLAY
1900,114173,344,Fishing,Screw Steamer,STRATHCLYDE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51703&vessel=STRATHCLYDE
1901,114185,346,Passenger / Cargo,Screw Steamer,ST ROGNVALD,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51705&vessel=ST+ROGNVALD
1901,114189,349,Fishing,Screw Steamer,STRATHLEVEN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51708&vessel=STRATHLEVEN
1901,114193,351,Fishing,Screw Steamer,MAGGIE ROSS,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51710&vessel=MAGGIE+ROSS
1901,114200,353,Fishing,Screw Steamer,LOCH LEVEN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51712&vessel=LOCH+LEVEN
1901,115552,355,Fishing,Screw Steamer,BEN RINNES,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51714&vessel=BEN+RINNES
1901,115556,358,Fishing,Screw Steamer,BEN EDRA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51717&vessel=BEN+EDRA
1902,115557,357,Fishing,Screw Steamer,COLUMBIA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51716&vessel=COLUMBIA
1902,101572,360,Tug,Screw Steamer,INGANE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51719&vessel=INGANE
1902,115583,362,Fishing,Screw Steamer,FORT GEORGE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51721&vessel=FORT+GEORGE
1903,115588,364,Fishing,Screw Steamer,STAR OF THE SOUTH,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51723&vessel=STAR+OF+THE+SOUTH
1903,115593,366,Fishing,Screw Steamer,LOCH STROM,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51725&vessel=LOCH+STROM
1903,110209,368,Fishing,Screw Steamer,CONDUCTOR,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51727&vessel=CONDUCTOR
1903,118164,371,Passenger / Cargo,Screw Steamer,SAINT GILES,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51730&vessel=SAINT+GILES
1903,118170,373,Fishing,Screw Steamer,STRATHMARTIN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51732&vessel=STRATHMARTIN
1903,118172,375,Fishing,Screw Steamer,STAR OF THE OCEAN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51734&vessel=STAR+OF+THE+OCEAN
1903,118177,377,Fishing,Screw Steamer,RUBISLAW,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51736&vessel=RUBISLAW
1904,118183,378,Coaster,Screw Steamer,THRIFT,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51737&vessel=THRIFT
