Year,Order_Num,Yard_Num,Vessel_Type,Propulsion,Vessel_Name,Builder,SBS_link
1826,,,Cargo,Sailing Vessel,JANET,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56653&vessel=JANET
1827,8143,,Coaster,Sailing Vessel,EARL OF ERROL,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=55050&vessel=EARL+OF+ERROL
1827,,,Cargo,Sailing Vessel,CORSAIR,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56656&vessel=CORSAIR
1827,,,Cargo,Sailing Vessel,PATRIOT,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56658&vessel=PATRIOT
1827,,,Cargo,Sailing Vessel,MEDORA,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56660&vessel=MEDORA
1828,,,Cargo,Sailing Vessel,EARL OF ERROL,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56662&vessel=EARL+OF+ERROL
1828,,,Cargo,Sailing Vessel,JAMES LUMSDEN,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56664&vessel=JAMES+LUMSDEN
1830,,,Cargo,Sailing Vessel,SYLVANUS,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56666&vessel=SYLVANUS
1831,,,Cargo,Sailing Vessel,ROSE,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56668&vessel=ROSE
1831,,,Cargo,Sailing Vessel,CATHERINES,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56670&vessel=CATHERINES
1831,,,Cargo,Sailing Vessel,JOHN LEES,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56672&vessel=JOHN+LEES
1833,,,Cargo,Sailing Vessel,SINGAPORE,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56674&vessel=SINGAPORE
1834,,,Cargo,Sailing Vessel,PACIFIC,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56676&vessel=PACIFIC
1835,,,Cargo,Sailing Vessel,ANN,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56678&vessel=ANN
1836,,,Cargo,Sailing Vessel,FALCON,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56680&vessel=FALCON
1837,,,Cargo,Sailing Vessel,FLAMINGO,William Duthie & Co,view.php?a1Page=1&a1PageSize=210&builder=2127&ref=56682&vessel=FLAMINGO
