Name,Wikidata,ABS_ID_0,ABS_ID_1,ABS_ID_2,ABS_ID_3,ABS_ID_4,ABS_ID_5,ABS_ID_6,ABS_ID_7
ABBEYDALE,https://wikidata.org/wiki/Q84710758,http://www.aberdeenships.com/single.asp?index=99759
ABEL TASMAN,https://wikidata.org/wiki/Q20723138,http://www.aberdeenships.com/single.asp?index=101577
ABERDEEN,https://wikidata.org/wiki/Q52507806,http://www.aberdeenships.com/single.asp?index=100851,http://www.aberdeenships.com/single.asp?index=182651
ABERDEEN,https://wikidata.org/wiki/Q83641687,http://www.aberdeenships.com/single.asp?index=100851,http://www.aberdeenships.com/single.asp?index=182651
ABERDEEN,https://wikidata.org/wiki/Q83648792,http://www.aberdeenships.com/single.asp?index=100851,http://www.aberdeenships.com/single.asp?index=182651
ABERDEENSHIRE,https://wikidata.org/wiki/Q84727578,http://www.aberdeenships.com/single.asp?index=100825
ACORN,https://wikidata.org/wiki/Q24027335,http://www.aberdeenships.com/single.asp?index=122869
ACTIVE,https://wikidata.org/wiki/Q24027049,http://www.aberdeenships.com/single.asp?index=108152,http://www.aberdeenships.com/single.asp?index=182654,http://www.aberdeenships.com/single.asp?index=182655
ACTIVE,https://wikidata.org/wiki/Q3755897,http://www.aberdeenships.com/single.asp?index=108152,http://www.aberdeenships.com/single.asp?index=182654,http://www.aberdeenships.com/single.asp?index=182655
ACTIVE,https://wikidata.org/wiki/Q42886794,http://www.aberdeenships.com/single.asp?index=108152,http://www.aberdeenships.com/single.asp?index=182654,http://www.aberdeenships.com/single.asp?index=182655
ACTIVE,https://wikidata.org/wiki/Q4677482,http://www.aberdeenships.com/single.asp?index=108152,http://www.aberdeenships.com/single.asp?index=182654,http://www.aberdeenships.com/single.asp?index=182655
ACTIVE,https://wikidata.org/wiki/Q4677483,http://www.aberdeenships.com/single.asp?index=108152,http://www.aberdeenships.com/single.asp?index=182654,http://www.aberdeenships.com/single.asp?index=182655
ACTIVE,https://wikidata.org/wiki/Q4677487,http://www.aberdeenships.com/single.asp?index=108152,http://www.aberdeenships.com/single.asp?index=182654,http://www.aberdeenships.com/single.asp?index=182655
ACTIVE,https://wikidata.org/wiki/Q48740233,http://www.aberdeenships.com/single.asp?index=108152,http://www.aberdeenships.com/single.asp?index=182654,http://www.aberdeenships.com/single.asp?index=182655
ADAMANT,https://wikidata.org/wiki/Q42886748,http://www.aberdeenships.com/single.asp?index=135655
ADA,https://wikidata.org/wiki/Q4678218,http://www.aberdeenships.com/single.asp?index=100166
ADA,https://wikidata.org/wiki/Q84710567,http://www.aberdeenships.com/single.asp?index=100166
ADELAIDE,https://wikidata.org/wiki/Q24027006,http://www.aberdeenships.com/single.asp?index=100880,http://www.aberdeenships.com/single.asp?index=101799
ADELAIDE,https://wikidata.org/wiki/Q4681657,http://www.aberdeenships.com/single.asp?index=100880,http://www.aberdeenships.com/single.asp?index=101799
ADELAIDE,https://wikidata.org/wiki/Q4681659,http://www.aberdeenships.com/single.asp?index=100880,http://www.aberdeenships.com/single.asp?index=101799
ADELAIDE,https://wikidata.org/wiki/Q4681661,http://www.aberdeenships.com/single.asp?index=100880,http://www.aberdeenships.com/single.asp?index=101799
ADMIRAL,https://wikidata.org/wiki/Q52322924,http://www.aberdeenships.com/single.asp?index=99350,http://www.aberdeenships.com/single.asp?index=100163
ADMIRAL,https://wikidata.org/wiki/Q83627522,http://www.aberdeenships.com/single.asp?index=99350,http://www.aberdeenships.com/single.asp?index=100163
ADMIRAL,https://wikidata.org/wiki/Q85987342,http://www.aberdeenships.com/single.asp?index=99350,http://www.aberdeenships.com/single.asp?index=100163
ADVENTURE,https://wikidata.org/wiki/Q2323226,http://www.aberdeenships.com/single.asp?index=99980,http://www.aberdeenships.com/single.asp?index=101109,http://www.aberdeenships.com/single.asp?index=110966,http://www.aberdeenships.com/single.asp?index=136440
ADVENTURE,https://wikidata.org/wiki/Q4686474,http://www.aberdeenships.com/single.asp?index=99980,http://www.aberdeenships.com/single.asp?index=101109,http://www.aberdeenships.com/single.asp?index=110966,http://www.aberdeenships.com/single.asp?index=136440
ADVENTURE,https://wikidata.org/wiki/Q4686487,http://www.aberdeenships.com/single.asp?index=99980,http://www.aberdeenships.com/single.asp?index=101109,http://www.aberdeenships.com/single.asp?index=110966,http://www.aberdeenships.com/single.asp?index=136440
ADVENTURE,https://wikidata.org/wiki/Q55808082,http://www.aberdeenships.com/single.asp?index=99980,http://www.aberdeenships.com/single.asp?index=101109,http://www.aberdeenships.com/single.asp?index=110966,http://www.aberdeenships.com/single.asp?index=136440
AGENORIA,https://wikidata.org/wiki/Q23936292,http://www.aberdeenships.com/single.asp?index=100757
AGENORIA,https://wikidata.org/wiki/Q24027465,http://www.aberdeenships.com/single.asp?index=100757
AGNES BLAIKIE,https://wikidata.org/wiki/Q4033567,http://www.aberdeenships.com/single.asp?index=99336
